Reference,NumberOfShipsInvolved,ShipsInvolved,SOLASStatus,FlagStates,IncidentDateTime,TypeOfCasualty,Coordinates,Location,NumberOfInvestigationReports,NumberOfAnalyses,InitialEvent,SummaryOfEvents,ShipType1,Consequences1,GrossTonnage1,ClassificationSociety1,Deadweight1,Cargo1,CrewOnboard1,PassengersOnboard1,OthersOnboard1,DeadMissingCrew2,DeadMissingPassengers2,DeadMissingOthers3,SeriouslyInjuredCrew2,SeriouslyInjuredPassengers2,SeriouslyInjuredOthers2,InvestationReportDate,AnalysisDate
"C0000969","1","ARMADA PERTIWI (-)","ARMADA PERTIWI: Unknown/unspecified","IND","1993-01-23 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000968","1","ADI PERTIWI (-)","ADI PERTIWI: Unknown/unspecified","IDN","1993-01-23 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000966","2","MAERSK NAVIGATOR (-), SANKO HONOUR (-)","MAERSK NAVIGATOR: Unknown/unspecified, SANKO HONOUR: Unknown/unspecified","SGP","1993-01-21 03:07","Very serious","060600N 0942720E","Bay of Bengal","0","0","Collision","On 20 Jan 1993 at 16:20 hours UTC, the second officer of MaerskNavigator took over the watch from the third officer. The Maersk Navigator was steering a course of 088°T and making good a speed of 11 knots. As the ship was on autopilot, the seaman designated as helmsman was acting as lookout.

At 18:00 hours UTC the second officer of Maersk Navigator detected 3 ships on the ARPA ali moving in the opposite direction. One ships which was later identified as the Sanko Honour was 2° to 3° on the starboard bow. The closest point of approach (CPA) of Sanko Honour was 0.5 mile. The Sanko Honour was sighted visually at a distance of 6.7 miles, fine on the
starboard bow. The second officer of Maersk Navigator altered course to increase the CPA to 0.9 mile. After the altération the Sanko Honour was sighted about 10° on the port
bow. At a range of about 4 miles, the Sanko Honour disappeared visually and from the radar due to heavy rain  squali. After re-adjusting the anti-rain clutter on the ARPA, Sanko Honour reappeared on the radar screen and was tracked again. Radar information indicated that Sanko Honor had altered course to port. Immediately, the second officer of Maersk Navigator put the helm on hard-to-starboard and steadied on a heading of 14 8°T. He then saw the Sanko Honour approaching from the port beam showing a green sidelight and ordered the helm hard-to-starboard and called the master. A short while later, the bow of the Sanko Honour collided with the port side of the Maersk Navigator.


On 20 Jan 1993 at 16:45 hours UTC, the second officer of Sanko Honour took over the watch from the third officer. One of the two 3 cm radars was in use and the ARPA was not in operation. The Sanko Honour was steering 268°T and making good a speed of 16.5 knots. There were two ships forward of her beam. Both ships were moving in the same direction with one ship on either side of her. The ship was on autopilot and the seaman on duty acted
as lookout. There was also a cadet keeping watch with the second officer. At 18:20 hours UTC the second officer of Sanko Honour detected one vessel on the radar screen at a range of
20 miles in the direction of 8° on the starboard bow. This ship was later identified as the Maersk Navigator. The second officer of Sanko Honour began systematic radar plot using the radar reflector plotter. At 18:35 hours UTC, the Maersk Navigator was at a range of 13 miles and 12° on the starboard bow. About this time, the second officer and the cadet sighted the two masthead lights and the green sidelight of Maersk Navigator, about 5° on the starboard bow. At the same time they sighted the port side ship showing the green sidelight and the second officer concluded that the overtaken ship had now became a crossing ship. He changed from automatic steering to manual and altered course to port. The cadet was at the wheel. After this, the Sanko Honour was caught in heavy rain squall and both targets disappeared from the radar screen. An attempt was made to recover both targets by adjusting the anti-rain clutter control and switching on the standby radar but was  nsuccessful. A visual check was made with the aid of binoculars but no ship was seen. At 18:43 hours UTC course was altered 10°to port to give more clearance to the ship being overtaken. Once on this heading, the ship was changed to automatic steering and the cadet was told to keep a lookout for the Maersk Navigator. The cadet saw the red sidelight of Maersk Navigator very close. At the same time the second officer also sighted the Maersk Navigator. Immediately he instructed the cadet to put the wheel on hard-to-port. As the ship was turning to port the Sanko Honour collided with the Maersk Navigator.
","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000967","1","MARINE HAWK (-)","MARINE HAWK: Unknown/unspecified","PAN","1993-01-21 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000964","1","GCC 700 (-)","GCC 700: Unknown/unspecified","USA","1993-01-16 03:30","Very serious","581080N 0063700E","West of Farsund, Norway","0","0","Grounding/Sinking","On 16 January 1993, while en route from Portland, OR, to Verdal, Norway, under tow by the tug Smit Singapore, the towline to freight barge GCC 700 parted during heavy weather off the coast of Norway. The barge drift ashore, grounded and sank. The barge was a constructive total loss.","Other Ships Structures","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000965","1","KIHNU (-)","KIHNU: Unknown/unspecified","EST","1993-01-16 00:00","Unspecified"," ","","0","0","","","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000963","1","ACAMAR (-)","ACAMAR: Unknown/unspecified","PAN","1993-01-15 00:00","Unspecified"," ","","0","0","","","General Cargo Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0003734","1","JAN HEWELIUSZ (IMO 7527904)","JAN HEWELIUSZ: Unknown/unspecified","POL","1993-01-14 00:00","Very serious"," ","Baltic Sea","1","1","","","Other Ships Structures","","3015","","","","","","","20","35","0","0","0","0","2009-11-17","2005-05-23"
"C0000962","1","EISEI MARU (-)","EISEI MARU: Unknown/unspecified","JPN","1993-01-13 00:00","Unspecified"," ","","0","0","","","Chemical Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000961","1","BRAER (OUTSIDE SELECTED PERIOD OF REFERENCE) (-)","BRAER (OUTSIDE SELECTED PERIOD OF REFERENCE): Unknown/unspecified","LBR","1993-01-05 00:00","Unspecified"," ","","1","0","","","Oil Tanker","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","2009-06-10",""
"C0000960","1","EXCELSIOR NEPTUNE (-)","EXCELSIOR NEPTUNE: Unknown/unspecified","HND","1993-01-01 00:00","Unspecified"," ","","0","0","","","Passenger Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
"C0000959","1","EXCELSIOR NEPTUNE (-)","EXCELSIOR NEPTUNE: Unknown/unspecified","CHN","1993-01-01 00:00","Unspecified"," ","","0","0","","","Passenger Ship","","","","","","","","","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","[Primary Annex 2 not designated]","",""
